A44085201 파장화남2차
A43080304 박달금호
A43003004 브라운스톤하나마을
A43003007 동원베네스트
A43003005 서광아침의빛
A43003006 세창짜임
A10026687 안양한양수자인에듀파크아파트
A43182303 뉴타운1-3차
A43178907 부흥관악
A43181102 샛별한양4-2,3차
A43105001 비산이편한세상
A43176201 비산한화꿈에그린
A43181101 샛별한양4-1차
A43173704 뉴타운4차
A43173101 관악부영
A43181605 관악성원
A43175702 은하수청구아파트
A43184701 비산성원
A43105002 임곡휴먼시아2단지
A43171903 평촌1차한양아파트
A43105102 그린빌주공아파트
A43182003 비산롯데캐슬
A43175801 비산힐스테이트
A43173602 미륭아파트
A43173304 은하수벽산
A43184302 뉴타운5차
A43173403 은하수신성
A43105006 비산화성파크드림
A43105004 비산삼성래미안아파트
A43181606 평촌관악타운
A10027146 대광로제비앙
A43105005 뉴타운6차
A43106001 창덕에버빌
A43171401 관양현대
A43106006 동편마을3단지
A43171701 인덕원삼성
A43106005 동편마을4단지
A43106003 공작마을성일
A43173004 한가람신라
A43178203 한가람한양6차
A43106007 동편마을2단지
A43181406 공작부영2차
A43178402 공작럭키
A43172905 한가람세경
A43106002 한가람삼성
A43106004 동편마을1단지
A43178101 한가람두산
A43106008 신일해피트리
A10027233 평촌더샵센트럴시티
A43174209 초원대원아파트
A43175501 평촌e편한세상
A43182909 초원부영
A43170702 꿈마을금호
A43170906 꿈마을우성
A43179705 인덕원대림2차
A43174208 초원대림
A43179302 향촌롯데
A43107002 평촌영풍
A43174605 초원세경아파트
A43182901 초원성원
A43174707 초원한양
A43176901 꿈마을건영2차
A43176904 꿈마을건영3차
A43174404 초원LG아파트
A43179506 향촌현대5차
A43107001 인덕원대림
A43171008 꿈마을한신
A43107007 푸른마을대우1차
A43107003 삼성래미안
A43171305 꿈마을현대
A43107006 귀인마을현대홈타운
A43170807 꿈마을라이프
A43179403 평촌현대4차
A43170603 꿈마을동아
A43176503 푸른마을삼성
A43181302 목련7단지우성
A43175108 럭키호계
A43183606 호계1차현대홈타운
A43108002 신도브래뉴아파트
A43183405 호계e편한세상
A43179105 무궁화건영
A43175109 호계효성
A43175205 한마음임광2차
A43172201 목련6단지두산
A43108007 호계샘마을대우
A43183704 신성호계미소지움
A43173902 무궁화금호
A43108001 일신건영장미
A43174001 무궁화진흥
A43108009 목련8단지 경남동아아파트
A43108005 목련3단지우성아파트
A43183302 호계아크로리버
A43179104 무궁화효성한양아파트
A43108304 호계삼익
A43181206 목련5단지우성
A43177403 목련1단지선경
A43177507 평촌목련2단지아파트
A43175207 호계한마음아파트
A43177605 목련9단지신동아
A43170201 샘마을쌍용
A43108006 호계샘마을한양
A43183702 호계흥화아파트
A43170402 샘마을임광
A43174105 평촌무궁화태영
A43173804 무궁화경남
A43179103 무궁화코오롱
A43108013 호계마젤란21
A43176406 호계2차현대홈타운
A43108010 삼호우주
A43190103 호계현대
A43175110 일신진흥
A43170303 샘마을우방
A10025336 평촌더샵아이파크아파트
A43108012 예성그린캐슬
A10027885 금정역호계푸르지오아파트
A43108011 흥화브라운빌
A10025449 평촌대성유니드
A10026306 평촌트루엘파크
A42083802 원미두산
A42083901 원미풍림
A10027856 부천역푸르지오시티
A10025566 다온하브
A10026928 우민늘사랑아파트
A10027593 가온펠리스
A42012002 춘의우민늘사랑
A42085903 부천춘의
A42085801 춘의우남푸르미아
A42073301 부천두산위브트레지움2단지
A42073302 부천두산위브트레지움1단지
A42073304 부천아이파크
A10026646 부천3차아이파크
A42073303 부천위브트레지움3단지
A42010105 부천동부센트레빌3단지
A42083401 역곡일두
A42010102 역곡4차e편한세상
A42083304 역곡대림e편한세상
A42083303 우림루미아트
A42074301 역곡역e편한세상
A42010202 역곡동부센트레빌1단지2단지
A42083306 역곡한국
A42010001 역곡5차e편한세상
A42083301 역곡2차e편한세상
A42010002 대주파크빌
A42085103 중동꿈마을동아
A42073201 부천리첸시아중동
A42084803 중동은하마을동부대우
A42084801 중동은하마을주공2차
A42085613 중동복사골건영1차
A42085107 중동연화마을쌍용
A42085602 중동그린타운우성2차
A42084909 설악마을주공아파트
A42084907 중동덕유마을주공1단지
A42084906 중동중흥마을주공
A42084904 중동중흥마을신동아영남
A42085614 중동그린타운금호한양
A42085504 미리내마을 롯데아파트
A42084707 한라뜨란채2단지
A42084301 중동대림
A42085108 중동그린타운한신
A42072101 중동복사골건영캐스빌
A42084708 중동금강마을주공
A42085309 중동보람마을아주
A42085301 중동포도마을뉴서울
A42085112 중동꿈마을삼환한진
A42084903 중동중흥마을극동두산
A42085004 중동연화마을대원
A42085006 중동연화마을건영
A42085205 중동포도마을삼보
A42085508 중동금호한양한신아파트
A42074901 중동무지개마을동신
A42085206 중동포도마을영남
A42084908 중동덕유마을주공4단지
A42084709 중동한라마을주공1단지
A42085611 그린타운삼성우성아파트
A42071007 미리내마을 동성아파트
A42085510 중동은하수타운
A42084905 중동덕유마을주공3단지
A42084802 중동은하마을 효성쌍용
A42002205 중동무지개마을LG
A42085303 중동보람마을동남
A42084804 중동은하마을주공1단지
A42084902 덕유마을주공2단지
A42084706 중동한라마을주공3단지
A10027848 래미안 부천중동 아파트
A42002001 중동팰리스카운티
A10025645 꿈마을건영서안아파트
A10025029 중동센트럴파크푸르지오
A10026892 스타팰리움
A10025153 중동해링턴플레이스
A42003027 상동다정한마을삼성래미안
A42081305 상동반달마을SK
A42081203 상동반달마을삼익
A42003008 한양하이타운로즈빌1차
A42003010 상동하얀마을경남아너스빌
A42003003 상동리파인빌
A42003026 상동효성센트럴타운
A42003009 상동행복한마을서해
A42081209 상동한아름2차
A42086401 상동코오롱이데아폴리스
A42003017 상동써미트빌아파트
A42003007 상동푸른마을한라비발디
A42003024 진달래마을(대림)
A42003023 상동뜨란채
A42081601 상동스타팰리스2
A42003016 상동하얀마을현대아이파크
A42081202 상동한아름한국
A42003030 상동라일락마을신성미소지움
A42003013 상동라일락서해
A42003032 목련마을상록아파트관리사무소
A42003002 상동벚꽃마을세종그랑시아
A42003020 상동라일락마을대우유림
A42003019 상동다정한마을쌍용예가
A42081201 상동한아름동원
A42077402 백송마을동남디아망
A42003012 상동사랑마을청구
A42003006 상동동양덱스빌
A42077405 백송마을상동자이
A42003018 상동다정한마을금강KCC
A42081308 반달마을극동아파트
A42081306 반달마을동아아파트
A42070802 상동진달래마을푸르지오
A42081207 한아름1차 아파트
A42081304 상동반달마을건영
A42003014 라일락마을경남아너스빌
A42003005 상동푸른마을창보
A42003029 상동사랑마을벽산삼익선경
A42077403 상동풍림아이원
A42077406 하얀마을주공3단지
A42086101 상동비잔티움
A42003011 상동금호
A42070801 백송마을 GS SK아파트
A42003025 상동꿈동산신안
A42003004 상동진달래마을신동아아파트
A10026006 상동스카이뷰자이아파트
A42281104 부천한신
A42274201 세영타워메카아파트
A42270611 소새울KCC스위첸
A42280701 부천성지
A42270610 소사SK-VIEW
A42270608 소사주공뜨란채4단지
A42223003 부천소사역푸르지오
A42270609 소사주공2단지
A42281203 소사두산삼성
A42281201 소사청구
A42281205 소사주공
A42270606 소사양우
A42223002 소사주공3단지
A42270607 소사풍림
A10024871 부천한신더휴메트로
A42284002 심곡롯데
A42282303 부천극동아파트
A10026019 e편한세상부천심곡아파트
A42271201 부천심곡동양파라곤
A42280405 부천범박힐스테이트4단지
A42280401 부천범박힐스테이트2단지
A42280404 부천범박힐스테이트3단지
A42275101 범박휴먼시아2단지
A42280402 부천범박힐스테이트6단지
A42280403 부천범박힐스테이트5단지
A42280406 부천범박힐스테이트1단지
A42282601 소사네오빌
A42275001 소사대진
A42209005 소사삼익3차
A42282604 염광아파트
A42280002 소사조공2단지
A42275002 범박휴먼시아1단지
A42280203 소사신일해피트리
A42209007 소사삼익세라믹1차2차
A42275003 트윈파크
A10024863 e편한세상 온수역아파트
A42281904 송내현대
A42282001 송내대한아파트
A42281902 송내청실
A42281503 우성송내
A42204002 송내복사골뜨란채
A42204201 송내e편한세상
A42281401 송내성호
A42204006 송내자이
A42204003 송내대우
A42281704 뉴서울송내동
A42283702 송내동신
A42204005 중동역푸르지오
A42204004 중동역2차푸르지오A단지B단지
A42282003 부천삼익125동관리소
A10026894 송내역 파인푸르지오
A10027567 byc부천위더스빌
A10025004 성진힐스아파트
A10027366 부천옥길 LH1단지
A10026570 옥길센트리뷰
A10026901 부천 옥길센트럴힐아파트
A10026648 옥길호반베르디움아파트
A10026644 옥길 한신 더 휴 제이드 카운티 1단지
A10025610 부천옥길LH8단지
A10027437 옥길브리즈힐
A10027285 부천LH옥길 헤일라움아파트
A10026307 부천옥길자이아파트
A10026650 제일풍경채 제이드카운티 2단지
A42181402 오정세종2차
A42117003 오정휴먼시아2단지
A42117005 오정휴먼시아1단지
A42117004 오정휴먼시아3단지
A42181401 오정창보
A10025569 효행복마을아파트
A42182802 여월휴먼시아4단지
A42182803 여월휴먼시아5단지
A42122002 여월휴먼시아1단지
A42182801 여월휴먼시아2단지
A42122001 여월휴먼시아3단지
A42120003 원종금호어울림아파트
A42120001 원종e-편한세상
A42182701 원종주공
A42120101 세창짜임
A42120004 대풍푸른들
A10026107 동문아파트
A10026266 영화아파트
A10024797 원종길성그랑프리텔
A42180201 고강미도
A42175002 고강1차2차
A10026463 청광플러스원아파트
A42385801 광명한진
A42301001 광명팰리스필2차
A42301501 광명월드메르디앙
A42381904 광명중앙하이츠
A42377601 제일풍경채
A42301002 광명현진에버빌
A42376401 광명해모로이연
A42381503 광명신원
A42377301 광명영화아이닉스
A42381901 광명영화
A42381902 광명상우2차
A42370601 광명상우1차
A10024531 광명아크포레자이위브아파트
A42382901 철산리버빌주공
A42303003 철산두산위브
A42303401 광명푸르지오
A42383508 철산주공13단지
A42383601 쌍마한신
A42382903 철산광복현대
A42370301 철산래미안자이
A42383705 철산한신
A42383201 철산주공11단지
A42383004 철산KBS우성
A42303204 철산주공8단지
A42303203 철산주공9단지
A42372002 철산낙천대롯데
A42383102 철산주공10단지
A42383806 철산주공12단지
A42303002 철산광명2차브라운스톤
A42303001 철산브라운스톤광명
A42370302 철산푸르지오하늘채
A10027643 광명철산도덕파크타운
A42385402 하안주공5단지
A42384502 하안주공9단지
A42385005 하안12단지
A42385501 하안주공2단지
A42385203 하안주공8단지
A42384503 하안주공10단지
A42385302 하안주공7단지
A42306001 하안주공13단지
A42375506 광명하안주공6단지
A42384702 하안주공4단지
A42385503 하안주공1단지
A42384704 하안주공3단지
A42384501 하안주공11단지
A42374402 e편한세상센트레빌
A42374401 광명두산위브트레지움
A42385401 하안현대
A42370103 소하휴먼시아2단지
A42371503 광명역세권휴먼시아5단지
A42305001 광명소하휴먼시아6단지
A42305004 소하휴먼시아5단지
A42371502 광명역세권휴먼시아1단지
A42371505 광명역세권휴먼시아4단지
A42382104 소하동양2차
A42386002 소하우림필유
A42382103 소하삼익
A42382503 소하미도2차
A42382505 소하미도3차
A42305003 소하휴먼시아1단지
A42370105 소하휴먼시아7단지
A42305002 소하휴먼시아4단지
A42382501 소하현대1차
A42305006 광명신촌휴먼시아2단지
A42370101 소하금호어울림
A42370104 신촌휴먼시아1단지
A42382101 소하동양
A42370102 소하휴먼시아3단지
A42382504 성원
A42371504 광명역세권휴먼시아3단지
A42382302 개운고층
A42371501 광명역세권휴먼시아2단지
A10026610 광명골드클래스아파트
A10025825 광명역센트럴자이아파트
A10026455 광명역써밋플레이스
A10026890 광명역파크자이아파트
A10026891 광명역푸르지오아파트
A10025038 광명역 유플래닛데시앙
A45972301 서정주공3단지
A45972008 평택롯데캐슬
A45981303 평택서정연립주택
A45972204 평택더샵아파트
A45972007 서정금호타운아파트
A45971902 세경아파트
A45971805 동산
A10026341 서정아트타워
A10026698 서정트인자리애2차 
A10025872 평택대양아리스타
A10027217 서정메트로하임
A10026298 타운하우스 로사리움
A10026243 휴먼파크리움
A10027216 서정벨루스하임
A10026699 서정트인자리애1차
A10026167 서정역꿈의도시두드림주상복합
A10027288 서정스마트빌듀오3차
A10025078 대옥7차아파트
A45970304 우미이노스빌2차
A45970305 장당우미이노스빌1차
A45970403 장당동한국아델리움
A45970302 우미이노스빌3차
A45902001 효명아파트
A10026427 제일풍경채장당센트럴아파트
A10026550 제일하이빌1단지아파트
A10026567 제일하이빌2단지
A10025585 한양아파트
A45973601 칠괴우림필유
A45975801 동광
A10025260 동문굿모닝힐맘시티4단지
A10025311 평택지제역동문굿모닝힐맘시티2단지
A10025196 동문굿모닝힐맘시티1단지
A45973701 가재우림필유
A45907001 장안마을코오롱하늘채
A45903003 우미이노스빌5차
A45974407 이충부영2차
A45974404 이충부영1차
A45903002 이충이편한세상
A45974614 이충현대
A45973108 이충LIG아파트
A45973312 반지마을주공1단지
A45974506 이충주공4단지아파트 
A45973210 미주3차
A45974505 휴먼시아추담마을
A45973413 반지마을주공3단지
A45974409 이충부영3단지
A45903011 정암마을뜨란채
A10027530 서정스마트빌듀오 2차
A10025812 서정아트타워2차
A10025918 서정 라페온빌 3차
A10027644 서정스마트빌듀오1차
A45975307 송탄우성
A45975604 한양청솔
A45975506 제일
A45974710 건영1차
A45975401 장미
A45975908 KCC스위첸
A45974711 평택지산코아루
A45974802 미주1차
A45974909 지산미주2차
A45975705 지산현대
A45975211 아주1차
A10025636 이한렉스빌플러스
A45971505 송탄한일
A45970906 라이프
A45970803 송탄동부아파트
A45971402 아주2차
A45971004 송탄삼익2차아파트
A45970701 대림
A10025351 송탄역 대양아리스타2
A10026756 평택(송탄역)클래시아
A10025165 송탄역 서희스타힐스아파트
A45082701 롯데인벤스스카이
A10026823 평택라페온빌2차
A10025532 평택코아루두드림
A10026231 동우자인채센트럴
A10025978 어반스페이스
A10025914 퍼스트시티
A45076003 통복삼성
A45075901 신명보람
A45075802 동아국화
A10026730 꿈의도시두드림
A45070602 군문주공2단지
A45070601 군문주공1단지
A45002008 평택합정주공3단지
A45083301 SK합정
A45076203 합정주공1단지(주공목화)
A45076206 합정주공2단지
A45076101 참이슬
A45076305 합정주공4단지
A45083202 SK뷰주상복합1단지2단지
A10025198 평택BT온유안앨리츠
A45073313 한빛
A45015009 수신제가
A45073716 태산그린
A45073015 문화
A45072914 엘지덕동
A45076518 현대이화
A45015005 비전롯데캐슬
A45072407 동아모란
A45072802 동성효성
A45074505 신세계타운
A45073401 시대코아
A45072705 신명나리
A45073808 태산신그린
A45072704 동성한아름
A45072102 한성
A45072201 은행
A45073517 시대한우리
A45073109 벽산늘푸른
A10028126 엘에이치이곡마을3단지
A45015006 평택소사벌휴먼시아1단지
A45072511 동아목련
A45072303 동아동백
A45076412 현대비전
A45015007 평택소사벌휴먼시아2단지
A45015010 LH리더스하임
A45015003 비전경남아너스빌
A45015004 YM프라젠하우스
A45015008 효성백년가약
A10027597 우미 린 센트럴파크아파트
A10027658 평택소사 배꽃마을 4단지
A10026970 뜨레휴 이곡마을7단지
A10025634 명진비전파크아파트
A10025695 평택소사벌푸르지오
A10027479 평택소사벌 이곡마을6단지
A45071602 동삭현대
A45071703 삼익사이버
A45080301 이안
A45071603 서재자이
A10026050 평택센트럴자이 4단지
A10025760 평택센트럴자이3단지
A10026568 평택센트럴자이2단지
A10025266 지제더샵센트럴파크
A10026576 평택센트럴자이1단지
A10026059 평택센트럴자이5단지
A10024611 더샵지제역센트럴파크1BL아파트
A10024656 더샵 지제역 센트럴파크 2BL
A45073901 개나리
A45074302 현대향촌
A45074104 꿈그린우성
A45074603 보성청실
A45074405 부영2차
A45081806 태영청솔
A45074007 부영원앙아파트
A10026511 힐스테이트 평택아파트
A10025806 힐스테이트 평택3차
A10026324 힐스테이트평택2차
A45008001 평택소사에스케이뷰
A10025440 평택효성해링턴플레이스2단지
A10025439 평택효성해링턴플레이스1단지
A45070102 용이반도유보라
A45013001 푸르지오1차
A45070101 용이2차푸르지오
A10028072 e편한세상평택
A10027750 평택용이금호어울림2단지
A10026609 e편한세상평택용이2단지
A10026044 평택비전에듀포레푸르지오
A10025692 비전레이크푸르지오
A10027738 평택용이금호어울림1단지 아파트
A10026247 평택비전 센트럴푸르지오아파트
A10025544 비전지웰테라스
A10027232 평택비전푸르지오
A10026629 e편한세상 평택용이1단지
A10026446 비전아이파크평택
A10025543 평택비전지웰푸르지오
A10026695 우미린레이크파크
A10026872 중흥S-클래스에코시티 아파트
A10026199 소사벌더샵마스터뷰아파트
A10027158 소사벌반도유보라아이비파크1단지
A10026354 평택소사벌호반베르디움아파트
A10025595 배다리마을5단지
A10027182 반도유보라아이비파크 2단지
A10025184 평택 소사벌 효성해링턴코트
A45180802 팽성안정주공
A45180801 진광무지개
A10027278 평택브라운스톤험프리스아파트
A10024785 평택더맥심험프리스아파트
A45170203 송화마을현대홈타운
A45180101 늘푸른오스카빌
A45170105 송화마을대원아파트
A45170406 송화우미이노스빌
A45170304 송화주공
A45176115 안중우림아파트
A45188103 안중신창
A10026286 송담지엔하임1차아파트
A10027298 힐스테이트송담아파트
A10026213 평택송담 지엔하임2차 아파트
A45176806 현화성원아파트
A45176604 동신1차행복마을
A45178112 화현마을우림필유
A45176510 현대홈타운1차
A45188508 동신아름마을
A45176502 현화현대홈타운2차
A45188517 평택안중2
A45188104 우림필유골드154
A45176505 안중현대3차
A45188511 미소마을서광프리메라
A45178014 안중1단지주공
A45176607 사랑마을동신2차
A45176316 늘푸른
A45178113 이화마을건영캐스빌
A45188501 안중동환
A45176706 명지미래힐2차
A45176705 명지미래힐1차
A45178208 삼부르네상스2단지
A45178210 삼부르네상스1단지
A45178307 모아미래도2단지
A45176709 지예타워3
A45178311 모아미래도1단지
A10028187 스마트빌듀오2차
A10025948 삼익 마에스트로
A10025658 골든포트
A10027620 카임하우스
A10027001 평택스마트빌포레
A45176707 만도사원
A45177009 SR친오애
A10028183 스마트빌듀오3차
A10028192 스마트빌듀오1차
A10027981 평택메트로하임
A45182302 반도보라빌
A45176708 한라파인빌
A45183103 평택청북1차부영
A45183107 청북풍림아이원
A45183102 청북이안
A45183105 평택청북3차부영
A45183104 평택청북2차부영
A45183101 청북유승한내들
A45183106 평택청북5차부영
A10027812 유승한내들퍼스트뷰아파트
A10027273 청북이지더원 아파트
A10027486 청북한양수자인아파트
A10026596 브라운스톤청북아파트
A10024984 평택청북 LH B12단지
A45172605 평택한일
A45172506 한승아파트
A10025431 고덕파라곤
A45174102 고덕태평아파트
A45184101 영화블렌하임
A10025363 고덕신도시 자연앤자이아파트
A10025274 평택고덕신동아파밀리에
A10025151 고덕국제신도시 제일풍경채아파트
A10025052 평택고덕LH17단지아파트
A10024900 고덕신안인스빌시그니처아파트
A10024576 평택 고덕어울림스퀘어
A48375502 송내주공5단지
A48301003 송내3단지
A48375404 송내4단지주공
A48373801 송내아이파크
A48374903 동두천부영9단지
A48373910 지행동원베네스트
A48375210 송내주공2단지
A48302002 지행역휴먼빌
A48373911 동두천부영3단지
A48373909 대방샤인힐7,8단지
A48374208 동두천현진에버빌
A48373912 동두천동양엔파트
A48375111 송내주공1단지
A48302007 지행주공2단지
A48370501 지행주공1단지
A48302004 동두천현대1차2차
A10026546 동두천 에코 휴먼빌2차 아파트
A48303002 동두천대방노블랜드
A48303009 동두천에이스2차
A48303007 동두천에이스1차
A48303005 동두천기상아파트
A48370315 동두천부영6단지
A48303011 동두천부영5단지
A48303004 동두천상우
A48303010 부영1단지
A48303003 동두천에이스4차
A48371201 동두천우성
A48303008 동두천에이스5차
A48370312 생연주공
A48371701 동두천세아
A48370314 생연휴먼시아3단지
A48371302 동두천건영
A48303006 에이스3
A48371103 생연주공
A48370316 브라운스톤동두천
A48303001 대방노블랜드1차
A48370313 동두천월드메르디앙
A10024548 동두천 센트레빌 아파트
A10027625 우방아이유쉘아파트
A48308001 동두천신창비바패밀리1,2단지
A48312001 상패주공
A42685701 그린빌주공10단지
A42685702 안산고잔푸르지오2차
A42682403 상록수현대2차아파트
A42617204 상록타운선경
A42690105 숲속마을요진
A42689402 푸른마을주공4단지
A42673901 안산고잔1
A42682408 상록수타운 월드아파트
A42682405 예누림
A42690102 안산고잔6차푸르지오
A42689405 늘푸른아파트
A42690101 상록마을삼보
A42689406 푸른마을고잔주공5단지아파트
A42682407 상록수요진
A42617209 본오1차
A42682401 상록수현대1차
A42682402 신우아파트
A42617206 본오2차
A42689401 푸른마을주공2단지
A42690103 안산푸르지오9차아파트
A42690104 안산고잔7차푸르지오
A10025014 그랑시티자이아파트
A10025108 e-편한세상 상록아파트
A10024584 그랑시티자이2차아파트
A42681505 상림 우성
A42618201 신안1단지
A42672901 상록수한양
A42681502 태영
A42681501 본오주공아파트
A42681504 안산월드1단지 
A42681503 신안2단지
A42683701 성포현대1차
A42683706 성포선경
A42683707 성포주공11단지
A42683704 성포주공10단지
A42683703 성포주공4단지
A42683705 성포예술인
A10026018 안산파크푸르지오 아파트
A42685304 월피주공1단지
A42685306 월피한양
A42685303 안산현대2차아파트
A42685305 월피주공2단지
A42685302 월피주공3단지
A42620001 팔곡마을주공
A42621002 건건서해아파트
A42621001 인정프린스
A42621003 건건이편한세상
A10024858 영무예다음아파트
A42622001 사사동현대아파트
A42580506 중앙주공5단지
A42590613 그린빌주공9단지
A42590609 고잔4차푸르지오
A42590612 고잔그린빌8단지
A42590615 네오빌6단지
A42580505 안산고잔8단지
A42580504 고잔주공7단지
A42580507 고잔주공9단지
A42590608 그린빌주공7단지
A42590610 보네르빌요진2차
A42590617 고잔3차푸르지오
A42580503 고잔주공6단지
A42590616 고잔5차푸르지오
A42590607 단원마을금강
A42590614 푸르지오1차대우
A42590611 양지마을금강2차
A42590618 호수공원아파트
A10025963 고잔롯데캐슬골드파크아파트
A10027619 안산레이크타운 푸르지오 아파트
A10026224 안산센트럴푸르지오
A10025832 힐스테이트중앙
A10024880 천년가 리더스카이 아파트
A42577404 신길휴먼시아9단지
A42583803 신길온천역휴먼빌
A42583805 신길휴먼시아2단지
A42577406 안산아이파크
A42583802 신길휴먼시아7단지
A42583806 삼익
A42583801 신길두산위브
A42577403 안산신길휴먼시아5단지
A42577405 안산신길휴먼시아4단지
A42583804 신길온천휴먼빌2차
A42577402 신길휴먼시아6단지
A42577401 안산신길휴먼시아3단지
A10026800 안산신길 줌테라스
A42586606 그린빌11단지
A42586608 안산 고잔 그린빌15단지
A42587914 안산고잔17
A42586609 그린빌주공14단지
A42586610 그린빌18
A42586611 행복한마을
A42587507 고잔주공그린빌13단지
A42586612 호수마을풍림
A42586603 고잔그린빌12단지
A42587813 안산고잔16
A10027965 안산초지두산위브
A10025409 초지역메이저타운푸르지오메트로단지
A10026267 안산 롯데캐슬 더퍼스트 아파트
A10025458 초지역 메이저타운 푸르지오 파크단지
A42513201 한화꿈에그린
A42513203 경남아너스빌
A42513001 원곡벽산블루밍
A42513202 안산8차푸르지오
A10025457 초지역메이저타운-에코단지
A42583104 공작한양(고층)
A42514105 군자주공11단지
A42576201 안산동명벽산블루밍
A42575907 안산군자13단지
A42514106 군자주공12단지
A42514103 군자주공14단지
A42582601 효성
A42514303 수정한양
A42514001 선부휴먼빌
A42514302 군자산호한양아파트
A42514202 군자주공9,10단지
A42576601 군자주공15단지
A10025714 보광그랑베르
A10025945 e편한세상선부아파트
A10026028 안산 메트로타운 푸르지오 힐스테이트 아파트
A10025039 안산 라프리모
A10024568 e편한세상 선부역 어반스퀘어 
A41280902 주교벽산
A41281001 주교우림루미아트
A41201003 주교우인아파트
A41207005 삼송힐스테이트
A41207004 신원마을5단지삼송우림필유브로힐
A41207002 고양삼송아이파크
A41215001 삼송신원LH3단지
A41207001 고양삼송호반베르디움9단지
A10027924 고양삼송우남퍼스트빌
A10026855 신원마을7단지 동일스위트1차
A10027395 고양 삼송A 4블럭 신원마을 4단지
A10026357 신원마을10단지 삼송 동일스위트
A41207003 삼송신원마을2단지
A41204002 삼송마을16단지
A41204001 삼송15단지계룡리슈빌
A41204005 LH원흥도래울마을1단지
A41204003 삼송마을14단지
A10026111 삼송원흥역센트럴푸르지오
A10027256 고양삼송 LH원흥마을11단지
A10025296 고양원흥마을lh12단지
A41206004 도래울센트럴더포레
A10025268 삼송3차아이파크아파트
A10024888 삼송2차 원흥역 동원 로얄듀크 비스타
A41206002 원흥도래울4단지
A41206003 원흥도래울6단지
A10027923 엘에이치원흥도래울마을3단지
A10026803 원흥호반베르디움더퍼스트
A10026532 원흥동일스위트아파트
A41202002 래미안휴레스트
A41280808 성사신원당6단지태영
A41280802 신원당동신1차
A41280801 성사어울림마을1단지동문
A41280806 성사신원당9단지태영
A41280804 신원당3단지동신2차
A41280803 신원당8단지삼보아파트
A41280805 성사신원당2단지태영
A41202001 원당e-편한세상
A41280807 성사신원당5단지대명
A10025328 고양지축LH3단지 아파트 
A10025162 지축역 북한산 유보라아파트
A10024952 지축역 한림풀에버
A10025170 지축역센트럴푸르지오
A10024541 테라비아타in삼송
A41277903 삼송마을17단지동원로얄듀크
A10028166 삼송 스타클래스
A10027927 삼송마을18단지
A10027815 삼송2차 아이파크
A10024578 삼송역현대헤리엇아파트
A41209001 호반베르디움21
A41209002 고양동산마을22단지
A10027246 동산마을 화성파크드림PATIO
A41251001 푸른마을2단지동익미라벨
A41251002 푸른마을4단지동익미라벨
A41277901 푸른마을10단지풍림아이원
A41280105 고양현대
A41280104 고양우방유쉘아파트
A41251003 푸른마을5단지풍림아이원
A41277902 푸른마을7단지풍림아이원
A41280101 고양청구
A41251004 푸른마을6단지풍림아이원
A41251006 푸른마을1단지동익미라벨
A41280103 고양윤창1단지2단지
A41251005 푸른마을3단지동익미라벨
A41280002 고양삼성
A41280404 관산신성
A41280202 관산새서울
A41280403 관산주공그린빌
A41280201 관산유승
A41276501 더퍼스트프라임주상복합
A41281607 능곡2차현대홈타운
A41281604 토당금강KCC
A41281605 능곡풍림아이원
A41281603 토당내안애양우
A41281706 능곡한라비발디
A41281708 고양대림아파트
A41281809 능곡1차현대홈타운
A41282102 능곡삼윤
A41271502 장미8차
A41282101 능곡대림1차
A41282702 옥빛마을12단지
A41282606 화정은빛마을5단지
A41282602 달빛마을3단지
A41282704 화정옥빛마을14단지부영
A41282703 화정옥빛13단지일신건영
A41275901 화정별빛마을7단지청구현대
A41273302 은빛마을6단지프라웰아파트
A41227212 화정별빛마을9단지
A41282604 화정달빛마을2단지부영
A41282706 화정옥빛17단지주공
A41227208 화정별빛마을8단지부영
A41282603 화정달빛마을2단지라이프
A41282701 화정옥빛16단지주공
A41282605 화정달빛마을1단지
A41273301 화정은빛마을11단지부영
A41282711 화정옥빛15단지주공
A41227205 화정별빛마을10단지
A41282601 달빛마을현대아파트(4단지)
A41279101 동도센트리움
A10027468 한화꿈에그린
A10027480 동원텔아파트
A41222216 행신소만1단지부영
A41222003 행신3차에스케이뷰
A41271903 행신햇빛18-2단지주공
A41222202 행신무원마을7단지신우
A41222002 행신벽산
A41222218 소만성원6단지아파트
A41222111 행신햇빛18-1단지주공
A41222305 서정마을 1단지
A41222212 행신무원마을1단지부영
A41222303 행신서정마을주공4단지
A41271901 행신햇빛19단지연금공단
A41282510 행신무원마을5단지쌍용한진
A41222201 행신소만2단지신안
A41222113 행신햇빛23단지주공
A41222207 행신소만10단지동성아파트
A41282513 행신무원마을6단지두산
A41222215 행신무원마을10단지서광라이프
A41222211 행신소만8단지풍림
A41222001 행신동문
A41222107 샘터마을1단지
A41222114 능곡샘터마을2단지주공
A41282401 능곡장미7차
A41222005 서정마을7단지(파크하임아파트)
A41222204 행신무원마을2단지삼보
A41282402 행신윤창
A41222301 행신서정마을주공5단지
A41222208 행신무원마을9단지기산
A41282503 행신무원마을8단지신안
A41222004 능곡샘터3단지
A41272401 행신소만9단지부영
A41222103 햇빛마을22단지아파트
A41222304 행신서정마을주공3단지
A41222205 행신무원마을3단지동신아파트
A41282406 행신1차 SK-VIEW
A41222112 행신햇빛마을20단지주공
A41271701 능곡샘터2단지임대
